弹幕,重复次数
好主意,32.0
坚决抵制日本排放核污染水入海！​,32.0
上热门啊！,32.0
很难不支持,32.0
《真安全》,32.0
救救大海，救救人类！,32.0
加热度加热度加热度加热度加热度加热度,32.0
苏醒吧，我的爱山,32.0
地球可以没有日本，但不可以没有海洋！,32.0
一定要说到做到哦！,32.0
地球可以没有日本，但是不能没有海洋。,32.0
支持！！！！！,32.0
保护地球。！！！！,32.0
快来台风！！,32.0
保护海洋！保护地球！保护我们赖以生存的环境！ 大家多多关注现有的日本核污染水排放，,32.0
保护海洋!!,32.0
保护海洋 保护海洋 保护海洋 保护海洋 保护海洋 保护海洋       保护海洋 保护海洋！！！,32.0
用魔法打败魔法,32.0
好消息，首页来的,32.0
请务必实施,32.0
日本能不能去死,32.0
支持支持支持支持支持,32.0
保护大海！！！,32.0
刺客在哪里,32.0
荡平日寇鬼，饮马东京都，琉球复国，法理回归，科学有国界,32.0
保护大海！,32.0
错的不是日本民众是那些排水的人,32.0
一群畜生,32.0
艹,32.0
加热度加热度,32.0
救救地球救救海洋救救人类吧！！！​,32.0
见证历史！！！！！！,32.0
海雯娜,32.0
保护地球!保护海洋!,32.0
呼吁全世界联合制裁日本政府，抵制日本政府对全球核污染！希望有识之士推翻日本政府高层，阻止他们毁灭人类计划！,32.0
之前那些关心中国环保人士都死了吗,32.0
我顶你个肺，你负责个*****,32.0
呜呜我还没看过大海呢,32.0
主线任务：活着,32.0
核污水：使动物患疾病，寿命大幅度缩短，严重致死。后代畸形，发育不良，严重情况下全部无法存活,32.0
辐合,32.0
职业市民,32.0
君子生于小国，非君子之过也,32.0
我们的孩子怎么办,32.0
累了毁灭吧,32.0
反对无效,32.0
反对排放核污水,32.0
害人害己,32.0
最后的武士,32.0
寥寥无几,32.0
吓人,32.0
不不不不不不不不不不不不不不不不不不不不不,32.0
这个要支持,32.0
可以省钱,32.0
今天开始  不吃任何日本的东西和海产品,32.0
热度上去！,32.0
我想让我3岁的女儿幸福快乐的生活下去！,32.0
美国,32.0
可悲的日本民众,32.0
我将以哥斯拉形态出击,32.0
给我上热门啊啊啊啊,32.0
对！,32.0
绿巨人,32.0
我呸！,32.0
我同意,32.0
变异生物已经开始出现了,32.0
核污染水中含上百种放射性核元素！,32.0
跳楼00:55,32.0
暗地里排没人管，现在直接明着排，儿子替爸爸冲在前面，真感人,32.0
反人类行为,32.0
妙啊,32.0
迪迦是不会干涉人类的选择的，因为他是光，除非有人类能变,32.0
日本：你的死亡与我何干？,32.0
负责牛魔,32.0
《信誓旦旦保证》,32.0
历史的罪人,32.0
遥遥领先,32.0
嗯，排一次海就别想要了，你他妈还要连续排30年,32.0
把大海还给我们,32.0
居然是央视,32.0
谴责,32.0
怪兽养成计划,32.0
谢谢你们！,32.0
谢谢你们,32.0
保护人类,32.0
拒绝麻木，不做冷漠的看客！正如鲁迅先生的说的：“你可以躲在角落里沉默，但是不要诋毁和嘲笑比你勇敢的人，因为他们争取到的光明也许会照耀到你”。​,32.0
能怎么负责,32.0
它拿什么负责?出问题了，他切10000次腹都不够他死的,32.0
死亡搁浅的时间雨这下成真了,32.0
星星之火，可以燎原！,32.0
抵制日本排放核污水！,32.0
符合,32.0
不许污染大海,32.0
不许污染大海！！,32.0
世界上可以没有日本，但不能没有海洋！,32.0
哥斯拉是如何炼成的,32.0
世界可以没有日本！但绝不能没有海洋！！！,32.0
世界可以没有日本，但不能没有干净的海洋！！！！！！！！！！！！！！,32.0
世界可以没有日本，但是不能没有海洋！！,32.0
世界可以没有日本，但绝不能没有海洋,32.0
世界末日要来了,32.0
就日本？日本美国欧洲原子能不都是？,32.0
坚决抵制日本排放核污水 ,32.0
保佑海洋保佑生灵！南无阿弥陀佛南无宝髻如来！天给善灵善报！给恶灵天谴！祈祷！,32.0
坚持抵制日本排放核污水！！保护地球！,32.0
坚决抵制核污染水排海,32.0
真正的日本武士,32.0
鞠躬负责,32.0
出兵出兵,32.0
​核污染水排​海=海陆空生灵皆完蛋=真正的大灭绝​,32.0
It is forbidden to discharge nuclear polluted water into the sea!,32.0
“划算”,32.0
出生特写,32.0
坚决抵制日本核污水排海！！！！,32.0
西人,32.0
坚持抵制日本排放核污水！！！,32.0
大核民族,32.0
让更多人看见！！！！,32.0
真是疯了,32.0
9,32.0
坚决抵制日本核污染水排海！！！,32.0
00后主线任务：活下去,32.0
没用的,32.0
《 负 责 》,32.0
。。。。。,32.0
j,32.0
日本不干人事,32.0
几克的量 就能杀死上百万人类!,32.0
全是老人,32.0
太讽刺了,32.0
坚决抵制！！！！,32.0
大家一起加油，为了更美好的大自然,32.0
干净的留着自己用啊，排什么排,32.0
顶！,32.0
保护海洋生态！！！,31.0
保护地球！保护海洋！！,31.0
hhh,31.0
我们联合！！！！,31.0
没一个年轻人,31.0
复活吧，我的爱山,31.0
自作自受,31.0
我们对100万欧元有信心,30.0
求bgm,30.0
《战地记者》,30.0
世界上可以没有日本，但是不能没有海洋！！！,30.0
今天？？？,30.0
受不了了,30.0
我想让你回答问题,30.0
稀释是直接排的另一种说法,29.0
呵呵，海都黑了,29.0
持续关注,29.0
必须全世界国家监督祸害地球海洋生态的日本。,29.0
既然无害干嘛要排海，自己利用起来啊，,29.0
wc  稀释。。。,29.0
造成污染。必须赔偿沿岸国家,29.0
TND狡辩,29.0
造谣一张嘴,29.0
万恶的小日子,29.0
国家不阻止要出事,29.0
天天关注,29.0
麻辣隔壁的都说一万亿次了，合格你自己拿去喝啊用啊,29.0
世界完了，联合国就是个渣子,29.0
看标题，我还以严惩,29.0
严惩日本,29.0
受到国际制裁,29.0
严重关切,29.0
无害为啥不自己喝呢？,29.0
应该说布受霉方控制,29.0
安全无害哈哈,29.0
无害自己喝啊,29.0
公开透明666,29.0
已经结束嘞,29.0
水都黑了,29.0
这个才是重磅,29.0
什么狗屁高科技？这么牛逼？自己测自己公布然后自己说自己科学没问题？日畜有基本的法律常识吗？,29.0
无害，你就自己消化，不要排啊,29.0
射线不是病毒也不必排毒，污染地动物们不死要熬几十年但谁也有那不法义务。,29.0
无害你它喵排你马,29.0
说什么群情，让日本直接开放给他国检查啊,29.0
抵制！保护海洋,29.0
佩服,28.0
我担心海洋被污染后，海藻受到影响，直接氧气不足咋搞？,28.0
保护保护保护,28.0
公关费起作用了，好多平台核污水的热度还没有一个戏子高，呵呵,28.0
世界不能没有海洋！,27.0
鸟鸟快跑,27.0
是啊，不是要持续排放30年吗！,27.0
为什么没人弹幕,27.0
和岛谈承诺是不是有点天真,27.0
狗人,27.0
大伙儿都听听，这说的是人话吗,27.0
这波前后对比满分,27.0
日本仔自己的科学家都说有问题，日本政府还要排海,27.0
所以美国到底是为了啥问题同意核污染水排海的？,27.0
这岸田说的什么p话，要大家信一个失信者的再一次承诺？,27.0
这就是福光岛变成暗影岛的过程,27.0
4000同时观看,27.0
为什么只说钏，别的元素呢,27.0
为什么只能投一个硬币？,27.0
抛开毒性谈计量，你不纯属耍流氓吗？,27.0
这才是最靠谱的,27.0
最重要的应该是先解决增加，如果不解决这个的话承载能力一定会达到一个极限,27.0
够不要脸,27.0
这帮混账玩意儿还想复炉？重启福岛核电？!!!,27.0
直接放进自来水管里用掉不就好了吗,27.0
咋断断续续的呢？,27.0
这话说的真剑啊,27.0
主义核素不等于元素周期表里面的元素,27.0
这跟之前日本拒不投降的态度是一样的,27.0
安倍挂了就开始作,27.0
呵呵，这只会让更多人知道日本的失误和愚蠢,27.0
为啥满头大汗呢？很热吗?,27.0
看左下角啊，有写着同时多少人在看的,27.0
这说话的乍一看咋跟机器人似的,27.0
是个明白人啊,27.0
所以他不敢喝，他心里清楚,27.0
所以他们自己的鱼自己还吃吗,27.0
所以其实大多数水是不能喝的，日本政府玩了个文字游戏,27.0
这说的,27.0
这记者还是看得透的,27.0
为什么要一直冷却呢？,27.0
所以呢，一群人最后搞出这么一个烂方案,27.0
大叔是个可怜人，可惜他的国家背叛了他们，背叛了全世界,27.0
20分钟前的，热热能吃,27.0
这就是多党互相推卸责任 最后想做啥做啥,27.0
与你同在,27.0
是发现坏了在修吧,27.0
这网站骗骗不懂的人罢了,27.0
为什么这个2B能笑的这么开心啊，想揍他,27.0
49分51秒的视频，我竟然看完了,27.0
为什么记者提问说的是处理水，不直接说污染水，字幕又写是污染水，欺负听不懂?,27.0
为什么不是全球国家，而是周边国家,27.0
所以排海就显得合理了吗？合理你ma,27.0
最终通过食物链富集到人类族群！大家一起买单！,27.0
这承诺有什么用呢,27.0
管理怎么了？很麻烦吗，总比入海好吧,27.0
把自私自利说得那么好听啊,27.0
把3级事故硬是拖成了7级,27.0
太可怜了,27.0
抛开剂量谈毒性确实是耍流氓，但你们能控制好剂量吗？,27.0
智慧有办法，奈何丑陋的私心没办法,27.0
东电已经转私有了，鹰酱基金的大股东,27.0
抛开剂量谈毒性,27.0
东电宣布破产会怎样,27.0
普通话好听,27.0
是无法生存在地球上,27.0
是的。。。,27.0
外星人根本不怕核污水,27.0
是的，方法不少，东电自己也考虑过，但在最后还是选择成本最低的排海。,27.0
普通渔民真实惨,27.0
这才是问题,27.0
把海洋污染了造成它自身渔业的经济损失就不用算进成本里吗？,27.0
这样的检修方式很有问题。      没发现损坏的发生时间问题很大。,27.0
完全不考虑政治成本和其他一些连带的隐形成本吗？,27.0
东京电力的数据还能信的！篡改了那么多数据。,27.0
多可怕呀，一旦证明污染的海洋，沿海的城市将是恶梦的开始！！,27.0
把污水用水桶稀释，稀释后倒入池子，池子的水能喝？你信？,27.0
东京电力公司是韩国财团吗？什么都他说了算,27.0
日本人能决定什么？美国人叫他们排才敢排的,27.0
东亚黄人们就是遗传质阴肝民族。,27.0
看的认真,27.0
鱼吃不了了,27.0
325,27.0
暂时性害渔民，长远性害全人类。应该经过全人类同意才行,27.0
日本人自己的记着都看不下去了，日本政府到底在干什么啊,27.0
抛开毒性谈放射，绝了,27.0
玩政治的心都脏,27.0
管你那么多稀释就能喝,27.0
家人们谁懂啊好气啊这几句,27.0
天生坏种,27.0
最简单的试验，用处理过的水养鱼，几代都不死不变异，才能排海不就行了,27.0
这时候的环保少女哪去了，西方的环保精英呢,27.0
最早发现不该是媒体人，相关人员发现了没说,27.0
日本人长寿是事实,27.0
为了一家东电，牺牲了多少人的利益啊？！日本还想进联合国常任理事国！,27.0
3000+来,27.0
最后得出直排大海吗？？,27.0
扎心了,27.0
最可悲的是，以后肯定还会有其他国家排海。,27.0
日本人还真敢喝，毕竟全世界以切腹为荣的也就这群奇葩,27.0
4000人在吗,27.0
这种话谁信,27.0
丧尽天良的小日子,27.0
多少，64种,27.0
实在人,27.0
严重怀疑直接换成了饮用水,27.0
这种时候，抠字眼是最无力的挣扎,27.0
这是目前看最安全的做法了吧,27.0
两百多万年…………,27.0
安静看中,27.0
这是给他们塞了多少money，才能说出来这种没脑子的话,27.0
两个月处理了千分之二  就算是处理成《饮用水》 那其它的呢？,27.0
哈？？,27.0
或？,27.0
纯粹就是放屁,27.0
主动收藏分享点赞的视频,27.0
可能是怕隐瞒的统计数据被暴露,27.0
0.,27.0
有的人不擅长打腹稿，眼神乱看也正常，都不能全信,27.0
可能700亿处理舆论比处理水更便宜多了,27.0
这个转场专业呀,27.0
这个记者是明白人,27.0
可是核污染水的污染物总量不变啊,27.0
这个记者厉害啊,27.0
人类罪人啊，哎,27.0
有看完的嘛,27.0
将这份不确定的危险平摊给世界罢了,27.0
这个视频设置了只能投一个币？,27.0
尊嘟假嘟,27.0
相由心生啊,27.0
-*+,27.0
这个问题上，日本的大部分专家其实都很专业，问题是决策者他不听啊,27.0
我要是这群研究人员…真的会抑郁好吧,27.0
可能有更多惊喜。。,27.0
右翼分子一意孤行,27.0
看似成本低，其实成本最高,27.0
人本政府,27.0
这么说，人家一开始就没打算存污水,27.0
这么说吧，东京电力的完全困股着是天皇这个狗东西，他不想过多的投入资金解决问题，只是生意,27.0
？6,27.0
这么快打脸了,27.0
人算不如天算,27.0
我觉得你们放下身段去理解理解他们更合适,27.0
这么强势啊,27.0
我觉得这件事的受害者已经不能单从渔民出发了，太片面了,27.0
大核民族理念：虚心接受，屡教不改,27.0
人类之癌,27.0
人类历史上最大的核电事故,27.0
编，继续编,27.0
？我想起了一位故人,27.0
日本它一心只为了甩开这个责任了，不会去管这么做带来的危害,27.0
人行道不是还有位置吗？开上去。,27.0
这个专家谁啊？维基百科根本找不到他任何成就,27.0
可以看得出，日本政府的所谓承诺从以前到现在毫无价值。,27.0
这个人，言外之意，及格就是可以排,27.0
小姐姐太辛苦了,27.0
 但是米量不变，只是排的时候多了一些水,27.0
这个人说的话，还是比较客观的,27.0
这个人应该当场喝一瓶，让我们看看到底安全不安全,27.0
可以明显发现，说真话的人眼神不会逃避，而说假话的人眼神会躲闪,27.0
这个听到最靠谱,27.0
可以打人吗,27.0
从原理上就很困难,27.0
服了,27.0
这不应该是千万粉丝up主的播放量啊,27.0
我有730个币，为什么只能投一个币？,27.0
我是流氓我怕谁,27.0
 保护海洋！！！！,27.0
这个大爷之前做的一期节目里也采访了他,27.0
这个燃料棒，我竟然能听懂,27.0
我看过一遍，其实大部分都很客观公正的,27.0
这个炸药包保存在这不安全，所以我直接丢给你们更安全。,27.0
这个法子可靠但成本很高，且砂浆固化时间及块状大小不好控制，所需接触人员也蛮多,27.0
我真的对这些人彻底无语了,27.0
什么叫“失去冷却”？话都读不通吗？央视做视频能不能用点心啊！应该是“停止冷却”吧！,27.0
大海之殇,27.0
这个时候他们又在意舆论影响了，又在意人们的担忧了,27.0
什么孤勇者,27.0
这个对影响的认定太过于主观了,27.0
这个方案差不多三百多亿万日元,27.0
这个教授讲话的眼神就很稳定，想什么说什么,27.0
？集中存放才安全啊,27.0
有这先例以后出事故都排海,27.0
仅仅是日本政府和东电公司决定的吗？,27.0
这个弹幕我怎么看不懂,27.0
人家说很小一部分都是出于严谨的，正常运行的痕量泄露你可以当成0,27.0
这些人都是些什么脑子？,27.0
1000+？？？,27.0
鼠目寸光之辈,27.0
这哥们就感觉知道，但是就是不说。,27.0
有时间干这个？,27.0
日本典型的表面匠人作风,27.0
富集化,27.0
结合之前那人说的“所以我们的判断不会因为民众的想法而改变”，真是让人愤怒,27.0
乌龙茶,27.0
有智慧有良知的人,27.0
2.5？,27.0
17年关现在什么事哪？,27.0
给人的感觉就是不确定的口气,27.0
燃料棒我听到了中文,27.0
煮鸡蛋和蛋花汤的区别,27.0
日本居民也是tmd倒霉,27.0
也就是说化学毒性不在放射性危险核素统计表内,27.0
我阐述你的梦！！！,27.0
终究是普通人遭罪啊,27.0
也是最简单的处理的一种！,27.0
看完了 心情很沉重,27.0
物质的量是不变的，只是加的水多了，显得浓度低了，抛开总量谈浓度，不是耍流氓吗,27.0
黄猿？,27.0
所以为什么眼睛要乱动？,27.0
所以为什么他们不能去做饮用水呢？我记得他们应该很缺水吧！,27.0
看完了，也完了,27.0
主要内容总结,27.0
2023.0827,27.0
之前凤凰卫视也采访过这位老人，地震里失去了弟弟和屋子，家人也只能出去打零工，真的很可怜,27.0
主要是冷却核废料的成本高，排冷却水不需要冷却核废料。,27.0
细节双引号,27.0
终于以后可以选择吃核污染海鲜喝大便水了,27.0
有啊,27.0
49分？,27.0
呃,27.0
这句话隐含的意思是民众都是傻子不懂科学,27.0
这句话暴露了吧，就是不想负责任,27.0
100倍，哈哈哈哈哈哈哈,27.0
然后喝水的那个狗带了,27.0
对啊，现在干这事的老东西过段时间都挂了，剩下的污染就只能后代承担,27.0
同位素,27.0
然后增加了700亿的公关费，800亿的补偿？,27.0
五十分钟？,27.0
合着除了有辐射的还有有毒的,27.0
五级托到七级  天才,27.0
合格不用排，排就是有问题,27.0
对啊，治标要治本,27.0
亡羊补牢,27.0
这人从头到尾都在回避问题，看抬头知论点,27.0
绝对是c4,27.0
这些日本老教授应该是也想做出改变的，奈何日本政府不做人，压根不想听,27.0
继续存的风险很大，是定时炸弹，出新的地震海啸怎么办？还是要尽快处理掉,27.0
对日本来说，跟不上国家的公民，就活该被放弃被抛弃被遗弃,27.0
日本小老太太都稀释没改变核污染物总量,27.0
这位大爷也小心啊！,27.0
也未必是说谎 但很可能对说的东西心里没底,27.0
书面承诺，真有你的,27.0
也没人敢换吧,27.0
煎 役 萎,27.0
后续隐形成本呢,27.0
后续成本可不止这个数,27.0
看到的好兄弟点个赞,27.0
这句没翻的是什么,27.0
（不会产生）,27.0
给我气笑了,27.0
大家很关注这件事情，确实关心到子孙后代,27.0
然而光是公关费和赔偿费用就已经超过其他方案了,27.0
11,27.0
事实证明日本专家都懂。这种事对本国民众的损害也是最大的啊,27.0
对啊 滤芯更换是个问题啊,27.0
对啊就是这个意思,27.0
这跟没处理有啥区别,27.0
哭了，虽然日本人民真是有不少好人的，可惜改变不了任何事！,27.0
5度的啤酒低不低，你喝一瓶和喝10瓶有区别不，何况这是不知多少瓶的量,27.0
“民众的想法”，所以 你就是大爷了?,27.0
一定有人看，地球是全世界的,27.0
日本无耻至极，极端自私自利！,27.0
用了一坤年的时间讨论出了排海这个解决方案,27.0
日产乌龙茶,27.0
好样的,27.0
靠……,27.0
支持！！,27.0
睁眼说瞎话,27.0
日本政府谎话连篇,27.0
知小礼而轻大义,27.0
知道但就是找借口不干,27.0
地球OL进入新赛季——辐射赛季,27.0
一无良知二无智慧,27.0
支持说真话的人,27.0
收700亿的那群表示完全是胡说八道,27.0
日本是个海岛国，却污染和破坏了海洋，终究会自食其果,27.0
真要靠稀释就能解决的话，那直接排海里就行啦，海里大把水。说破了稀释就是掩耳盗铃罢了,27.0
放出来样本让全世界查呗，不敢不就证明有问题了,27.0
放射性元素半衰期上千万年 对自然的影响不可估量 不过区区人类几万年完全无所谓啦 世界属于三体,27.0
放射性元素假如富集在海洋生物体内？这种检测的科学性在哪里,27.0
放在海里就会安心了吗,27.0
好家伙，先排了，再来征求同意。可以的,27.0
…好直接,27.0
一个核弹能解决的事情，搞这么复杂,27.0
用海水稀释然后排到海里,27.0
一块换一块,27.0
既然浓度低没事那你们喝了吧？,27.0
好心疼这个爷爷心疼大海,27.0
放你那狗屁,27.0
一人每天18公斤海鲜很难吗？,27.0
改叫辐岛吧,27.0
用海水稀释不改变你排放的总量,27.0
都在看字幕呢，谁没事儿看弹幕,27.0
都可以算出灭亡时间,27.0
地下连续墙,27.0
一言堂,27.0
好直接，点明了,27.0
真就脸都不要了,27.0
在大气层 引爆几颗 枯弹 把大气层污染  全玩完算球 你污染水   我污染空气  全完蛋算球,27.0
都TM十年了！！,27.0
tm你们全国的渔业废掉了，你算过吗,27.0
在,27.0
生物变异,27.0
在默默的看,27.0
一语道破,27.0
那这个过程又被贪污了多少呢,27.0
那还做什么社会评估,27.0
真实。。。,27.0
日本——人类之耻,27.0
摆烂呗,27.0
硬画饼,27.0
夺少？？？,27.0
都不是人事啊,27.0
都不是什么好东西呀,27.0
«理解之前»,27.0
破旧的xmuahu,27.0
在看,27.0
在看呢， 比较严肃的话题，不想乱BB而已,27.0
奥比克,27.0
————他要是同意了，他就对不起他名字中的任何一个词————,27.0
石棺？,27.0
好熟悉的话术，我这是在看是大臣日本版吗？,27.0
都冒汗了,27.0
日本政府第一原罪,27.0
一目了然,27.0
“以前已经做过了”,27.0
日本终将被反噬，海洋污染。,27.0
日本的标准比国际标准还高一百倍,27.0
真要听研究员的就不会只看成本，不考虑安全了,27.0
5最好,27.0
。。。还是所有,27.0
《一千多种》,27.0
《我们认为》,27.0
日本有国际声誉吗？,27.0
病毒和污水肆虐，真的能活到退休吗…,27.0
真的惨。。。,27.0
《据我了解》,27.0
文字瞎扯主义鼻祖,27.0
无敌的姓氏，无奈的现实,27.0
真的是不做人,27.0
好像赛文超人眼镜,27.0
数据真的能准确吗？谁来保证呢？,27.0
数据真实性“需要考察”，真是含蓄,27.0
。。。关键是你已经排放了,27.0
好勇敢,27.0
《很少一部分》,27.0
《尽量获得》,27.0
百万配音,27.0
除了文字工作什么都没搞成,27.0
无奈他们没良知,27.0
《元素周期表》,27.0
《充分处理》,27.0
无人了,27.0
真的不是换了两罐饮用水吗,27.0
方案六:所有污染水由,27.0
《你们认为》,27.0
《尽量》,27.0
附带的经济损失都不算的,27.0
《从科学技术的角度出发》《独立的判断》,27.0
《书面承诺》,27.0
真的好惨。。。。,27.0
《不会因民众的想法而改变》,27.0
好人,27.0
坏了才换，这个不是功能失效之前就换吗,27.0
问题是谁敢去施工呢，一听福岛估计没几个日本人会去干,27.0
问题是日本政府主动拒绝了他国协助 包括中国,27.0
《过滤》《稀释》,27.0
《足够低了》,27.0
政客的嘴脸真是丑陋,27.0
←是的，就是这么理解,27.0
政客理由真奇怪，唉,27.0
政客一向以违背承诺为荣，又不是政治家,27.0
《过滤》,27.0
《饮用水》,27.0
坏 了 再 修,27.0
重点，成本,27.0
《高见》,27.0
放心个球,27.0
重小礼而轻大义,27.0
ゴミを海に流すんじゃねーよクズジャップめ,27.0
好家伙23w年,27.0
日本是既无智慧也无良知,27.0
《足够低》,27.0
铭记日本罪恶行径,27.0
故意让大家不明白是，这就是一种信息污染,27.0
《符合标准》,27.0
雇水军洗地700亿随手就有，蒸发300亿拿不出，倭狗就是倭狗,27.0
《稀释》,27.0
《科学》《私密马赛》,27.0
《科学》《独立》的东电,27.0
《科学》《技术》,27.0
。。。。。。。。。,27.0
好嘛....前几天还在想我下本新书写什么主题，这素材就来了,27.0
。。。。你想死的话就直说啊,27.0
电解应该算是最优的,27.0
问题不在这里，浓度的定义本来也是有问题的，原地吸取海水附近的浓度只会更高，洋流也不是说能完全把核素带走的,27.0
《破旧的小木屋》,27.0
地震多的地方还要搞核电站就是找死,27.0
韩国口音（幻听,27.0
国际原子能机构不是直接取样！ 是日本送的样本！ 而且数据也是日本提供的！都不是直接取样！,27.0
搞笑,27.0
选了个最便宜的处理计划,27.0
逻辑没搞懂,27.0
存起来风险高，，，所以要排到海里，，可太秀了吧,27.0
造假传统,27.0
学者都还比较正常,27.0
捕鱼仙人？,27.0
现在日本岛永远不可能复兴，环境会越来越差，生物不变异会越来越没法生存,27.0
啊…相信后人的智慧！ 后人：我tm有智慧没P眼,27.0
姐姐语言能力顶顶,27.0
不是从费用角度的判断吗……,27.0
它一直都不是个省心的料，,27.0
处理水 处理过后变好的水还是坏的水并不清楚 ,27.0
不是啊，最早不是说蒸发排放最安全么？,27.0
不是基于成本吗,27.0
日本人怎么能这么虚伪自私，还在美化自己的排海行为,27.0
不懂就问：这些核污染会跟着水循环进入陆地吗？,27.0
不愿承受代价,27.0
日本政府极度自私,27.0
姐姐在用生命做报道,27.0
稀释？不还一样吗,27.0
啊？啊？啊？,27.0
日本政府:我已经解释过了，我不会听，什么也不会改变我排海的决心,27.0
据说美国反对蒸汽方案，因为蒸汽方案气体会吹到美国,27.0
据说美国人先吃日本海鲜以各种形式,27.0
空头支票,27.0
处理不过来就加设备啊,27.0
损死了,27.0
姐姐好厉害啊,27.0
姐姐真的好强,27.0
啊，我这边有2.4个币，为什么投币的选项只有投一个币？,27.0
不愧是自由记者，敢说而且一语道破,27.0
日本人就是坏，这帮王八蛋就应该丢进罐子里面泡澡,27.0
处理完不用检测了，给负责人喝就行了,27.0
不是没翻吧，是日语语序有点灵活，按照中文的语序的话嘴型说话长度这些都是对不上的。,27.0
不是现在才开始排，早在10年前就漏了,27.0
早10年前不去做？,27.0
66666666,27.0
6年了就探讨出这个？真的很会逃避责任啊,27.0
哦，所以全过程都没做好是吧,27.0
哦，就是你小子,27.0
这里给大家解释一下，理论上电解法是最安全环保的，但也是这么多方案里最贵的，电解出的氢气是对环境友好的，固化填埋会污染土地,27.0
这里有句话没翻译到字幕“日本人称之为‘死之灰’”,27.0
不能（即答）,27.0
不能，不同意排海,27.0
不是达标了才排放的，是因为时间被迫放的，,27.0
6 ,27.0
这里故意只提了碳14，相对安全的核素,27.0
这里很危险吧,27.0
这里就能看出日本不负责任和逃避的本性,27.0
是geiy,27.0
不要脸的日本人，我此生排斥日本的一切,27.0
不能,27.0
明明是从费用角度出发，唯一成本论！,27.0
笑了，全部坏了这是检修没问题？,27.0
700亿使用说明,27.0
71岁还要做这体力活？,27.0
不管发生什么受害最重的都是普通民众,27.0
哭了 防护服,27.0
竹内淳纯纯牛马,27.0
唉:-(连自己人都坑,27.0
时长惊人,27.0
唉、,27.0
拒绝日产从今天开始！,27.0
高智慧外星人，该行动了,27.0
连渔民都懂的道理，他们怎可能不懂？,27.0
不止日本，我连国产的海产品都不敢碰了,27.0
不是都达到饮用水的标准了 为什么不给自己人吃呢,27.0
唉，日本政府呐，你好歹也要为自己的子孙后代想想吧！就那么确保不会被影响到？,27.0
稀释纯TM搞笑的，加了海水再倾倒和直接倾倒有区别？,27.0
ALPS在理论设计层面确实能做到预想的程度，但问题是……,27.0
稀释有个卵用，稀释变的是浓度，总量又不变,27.0
那你首相倒是喝一口啊,27.0
排海费用最低只是表象   加上快一千亿的舆论公关其实是成本最高的,27.0
因为瞒不住了!,27.0
真假,27.0
排海是最便宜的,27.0
因为是无底洞,27.0
那倒不会，但会通过食物链反噬人类,27.0
因为成本低，同时不用东电一家承担损失，小日子觉得可划算了,27.0
不会G但会变异,27.0
如果只是靠稀释的话，那将毫无意义,27.0
那你赶紧接到日本自来水站全国喝完它,27.0
那你就留着慢慢喝啊，排什么海？,27.0
如果心里没鬼，不是应该广邀所有利害相关国进行采样监测吗？,27.0
日本政府和东电还有国际声誉啊，我家狗都不信,27.0
那你倒是把核素处理完排放啊？感情排进海水没人能检查超标元素，混水摸鱼肯定成本最低啊,27.0
坚持抵制！,27.0
如果你说的是事实，那你的眼神不要躲闪啊，呵呵,27.0
那可是核心的堆芯啊，捅了放射性元素的老窝了,27.0
团结起来，全球人应该全面禁止和抵制日本所有物品,27.0
固化填埋应该是影响最小的,27.0
固化填埋！！,27.0
日本还有啥声誉可言？兽名在外,27.0
日本政府和日本民众不是一个物种,27.0
那就让他们自己喝了,27.0
国外很多人都还不知道这件事,27.0
太长了,27.0
那就送入水处理厂，通过自来水管道通向千家万户,27.0
filter绷不住了,27.0
祖传PPT模板，，日本也用，哈哈哈哈哈哈,27.0
日本不是在发展氢能源嘛，电解核污水得到氢，然后发展氢能源汽车，在经济上得到一定弥补，说不定还顺带把氢能汽车发展起来,27.0
碳14够低，就是其他也够低是吧？都是机会,27.0
国际原子能就一拿钱办事的机构，可信度早就存疑,27.0
排海干啥呢,27.0
那他们为什么不喝,27.0
稀释就是骗自己,27.0
不对，应该说是世界罪人，所有生命的罪人,27.0
排到海洋，以前做过哟,27.0
科学柠檬,27.0
基本饮用水? 麻烦喝一口。,27.0
如果海底有外星人，是不是该行动起来了,27.0
科技也是服务社会的啊,27.0
不存在的,27.0
如果真的能处理干净，乏燃料后续的高放废液处置场早就建出来了，还需要固化处理？？？,27.0
不会就只有这2000吨是达标的吧？,27.0
那个喝了核水之后的人，为啥退，退休了,27.0
不就该拿来用，多好啊,27.0
稀释了，总量不变,27.0
不应该选危害最小的吗,27.0
妈妈问我为什么跪着看视频,27.0
稀释只不过是一种物理性质的变化，危险的核素总量不会因为稀释而年少,27.0
私密马赛一句就结束了,27.0
嗑学、寄术,27.0
目前来看这位专家还是比较客观的，暂时先别乱喷,27.0
如果日本有人敢换，当年的事故就不会这么严重了,27.0
现实的手段！！！！,27.0
排放三十年，设备肯定会出问题，这家伙就不谈这个!!,27.0
真不是人啊你,27.0
日本食品一律不吃,27.0
那些拿元素周期表洗地的初中生,27.0
日本人一天八杯很快就喝完了,27.0
排海不也是置之不理的行为,27.0
排海了就不用担心了？,27.0
这一段看得我心脏骤停，祖国妈妈救我,27.0
TM自己首相都不敢喝,27.0
不会忘记的,27.0
福岛？无福！,27.0
不会忘记 不可能忘记,27.0
这下听懂了,27.0
有是一回事但是认不认真搞又是另一回事啊,27.0
缓兵之计,27.0
