弹幕,重复次数
哈哈,260.0
看看水颜色比第一天排水的时候黑多少啊,260.0
父慈子孝,259.0
坚决抵制日本核污水排海,254.0
覆水难收,251.0
保护！,250.0
《甲级战犯》,250.0
阿古茹,250.0
日本向全人类、向海陆空生灵宣战！,250.0
我去,250.0
说到做到,250.0
《如果》,250.0
《安全》,250.0
全人类的罪人,249.0
见证牛魔,249.0
团结起来，全球人应该全面禁止抵制日本所有物品,247.0
日本鬼子,246.0
哈哈哈哈哈哈哈哈,245.0
支持！！！,244.0
唉！,244.0
畜生啊,244.0
《氚流不息》,243.0
3000+,242.0
《辐核》,240.0
保护海洋环境,240.0
保护地球，保护海洋，保护我们的下一代。,240.0
好家伙,239.0
使  徒  照  片,237.0
马扁,237.0
水是剧毒的(确信),237.0
第三次冲击,235.0
yue,234.0
抵制日本，拯救海洋！！！,234.0
崇高的进化之神，请保佑我进化吧（虔诚）！ ,234.0
夺少？,234.0
加大力度,233.0
说的对！,233.0
+,232.0
保护地球!!!保护海洋!!!,232.0
大核冥族,231.0
福光岛,231.0
负责,230.0
对,230.0
赞成,226.0
怎么办,225.0
坚决抵制日本核污水排海！！保护海洋！！,223.0
看完,222.0
认真看,222.0
一坤年,222.0
《基本达到》,222.0
掩耳盗铃，自欺欺人,222.0
..,222.0
hhhh,222.0
《智慧》,222.0
众所周知，日本发明了最先进的核污染水处理技术， 世界应该向日本学习,222.0
关键字 成本,222.0
太可怕了,222.0
保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地,222.0
注意安全！！,220.0
说得好！,220.0
毁灭吧,219.0
哦,218.0
畜牲啊,217.0
《泄漏》,216.0
都是老人啊,216.0
氚流不息,216.0
世界可以没有日本，但不能没有大海,216.0
死,216.0
不要脸,215.0
上热门！！！！,214.0
害怕,214.0
犀利,211.0
这下真的是氚流不息了。,210.0
《负全责》,210.0
韩奸,210.0
？？？？？？,209.0
保护海洋，保护地球，保护健康！！！,208.0
bgm好评,208.0
保护地球保护海洋！！！,208.0
人类历史上一座崭新的斐济杯,206.0
BGM好评,206.0
啊啊啊,205.0
两面包夹芝士,204.0
有用吗？,204.0
阿古茹！,203.0
生物富集,202.0
打倒日本帝国主义,200.0
屁话一堆，一句有用的没有,200.0
Love you that girl,200.0
相信后人的智慧,200.0
棒子,200.0
划重点：如果真出了问题到时候再说,200.0
哥斯拉要来了,200.0
保护海洋生态，保护地球,200.0
反人类,200.0
不买日本的任何商品，我们可以做到的,200.0
出院,200.0
坚决抵制核污水排海,198.0
记者都哽咽了,196.0
《safe》,195.0
历史罪人,193.0
水是剧毒的,192.0
保护海洋保护海洋保护海洋保护海洋保护海洋,191.0
真贱啊,190.0
一言为定，双喜临门,190.0
坚决抵制排放核污水！,190.0
问得好,190.0
氢弹,188.0
消灭日本,186.0
愤怒,186.0
遗臭万年,184.0
绝杀,183.0
为什么不阻止,183.0
世界可以没有日本和霉国，不能没有蓝色海洋,182.0
加流量加流量加流量加流量加流量加流量加流量加流量加,182.0
要排30年,181.0
保护地球！保护海洋！保护人类！,181.0
eva字体,181.0
好漂亮,180.0
拒绝核污水排放！,180.0
保护好自己,180.0
保护地球保护海洋！,180.0
↓甲级战犯↓,180.0
。。。。,179.0
保护海洋人人有责,178.0
同意,178.0
保护大海！！！,178.0
地球可以没有日本，但不能没有海洋！,178.0
可怕,177.0
呵,176.0
白血病,176.0
虚伪,171.0
暗影岛,171.0
悲哀,171.0
坚决保护海洋生态！坚决保护地球家园！,170.0
哈哈哈哈哈哈哈,170.0
真该死啊,169.0
服了,169.0
千古罪人,168.0
坚决抵制！！！,168.0
抵制日本核污水排海,168.0
寄,168.0
66666,165.0
《氨醛》,165.0
说到做到哦,165.0
保护海洋，人人有责,165.0
氨醛,165.0
见证历史！！,164.0
臭不要脸,163.0
保护地球！！！！,163.0
大核民族,162.0
该死的日本！,162.0
。。。。。,161.0
毁灭吧累了,161.0
。。,161.0
才300,160.0
有辐同享,160.0
全是老人,160.0
保护大海！！！保护人类！！！,160.0
woc,160.0
30年,160.0
狗都不吃,160.0
好骂,160.0
《央视新闻》,160.0
蚝爹油,160.0
小心啊,160.0
《新世纪辐音战士》,158.0
猜到了,158.0
《承诺》《绝不》,158.0
《我爱吃的日料》,158.0
来骗，来偷袭！,158.0
贱！,158.0
《泄露》,158.0
eva,158.0
先投为敬,158.0
EVA即視感,158.0
保佑海洋一切安好,158.0
保护海洋保护海洋保护海洋保护海洋,158.0
小日子滚出地球,158.0
311,158.0
Eva,158.0
我以为是“假”,158.0
使徒,157.0
《人类补完计划》,157.0
解决办法：联合国驻军福岛，,157.0
梦幻联动,157.0
命运的齿轮开始转动,157.0
公知呢，出来洗地啦！！！,156.0
地球之癌,156.0
多行不义必自毙！,156.0
盖亚,156.0
主线任务：活到18,156.0
保护海洋！抵制排放！！,156.0
强烈的辐射,156.0
为什么不能挖个洞给埋了，非要排海里啊[辣眼睛],156.0
召唤奥特曼,155.0
没绷住,155.0
见证历史！！！,155.0
保护地球！！保护海洋！！,155.0
保护地球，保护环境，保护海洋,154.0
保护海洋！保护地球环境！,153.0
。。。。。。。。。,151.0
保护地球！！！,150.0
心疼,150.0
让他喝,150.0
不许污染大海,150.0
乌贼娘！,150.0
笑死我了,150.0
蚌埠住了,150.0
好人啊,150.0
保护地球！！！！！,150.0
真正的武士,150.0
9,150.0
我支持,150.0
死亡搁浅,150.0
双喜临门,150.0
说到做到啊,150.0
注意看，咬牙切齿！！！,150.0
灵魂拷问,150.0
一定要说到做到哦,150.0
反对不一定有用，但不反对就等同默认和纵容,150.0
送命题,150.0
核污染水中，仅放射性核元素就达上百种，别被日本蒙蔽！,150.0
核污染水中所含的放射性核元素不是几十种，而是上百种！,150.0
给他喝,150.0
自作自受,150.0
艹,150.0
难道他真的是天才？,150.0
他慌了,150.0
才30%,150.0
《有信心》,150.0
核污水：使动物患疾病，     寿命大幅度缩短，严重致死。后代畸形，发育不良，严重情况下全部无法存活,150.0
核污水：使动物患疾病，寿命大幅度缩短，严重致死。后代畸形，发育不良，严重情况下全部无法存活,150.0
复读机,150.0
111,149.0
反对,149.0
保护海洋，保护地球！！,149.0
小日子,145.0
拿什么负责,145.0
保护海洋 保护地球,145.0
意料之中,145.0
应该全面禁止日本所有产品，不然他们会通过别的地方重新包装出售,144.0
日本人向全球投放生化武器,144.0
小八嘎,143.0
保护海洋生态,143.0
初生啊,142.0
抵制日本产品,142.0
抵制,142.0
wc,141.0
好！！！,140.0
 保护海洋！保护地球！,140.0
我同意,140.0
注意安全呀！！！,140.0
上热门！！,140.0
迪迦！,140.0
出生登场,139.0
骗子,139.0
“人类补完计划”,139.0
坚决抵制排放核污水,139.0
封口费,139.0
草,138.0
见证历史！保护海洋！保护地球！,138.0
不论过去，不问将来,138.0
没一个年轻人,138.0
环太平洋,138.0
？？？？？？？？？,138.0
坚决抵制日本排放核污水！！！,138.0
支持支持！！！,138.0
无语死了,137.0
一目了然,137.0
保护地球，请融化南北极,136.0
从此，历史书上又多了一个知识点,135.0
完蛋了,134.0
爆杀,133.0
活该,133.0
保护我们的海洋！,133.0
气死了,133.0
制裁日本,131.0
多少？！,131.0
活不了了,131.0
百氚东到海,131.0
。。。。。。。。。。,131.0
《很满意》,130.0
日本罪人！,130.0
别放弃，坚持住,130.0
嘴炮,130.0
非常的新鲜，非常的美味,130.0
《百氚东倒海，核时复西归》,130.0
大内久,130.0
此地无银三百两,130.0
守护海洋，保护海洋生物，守卫我们共同的家园，地球！,130.0
比基尼群岛,130.0
保护地球保护海洋！！,130.0
支持开联合舰队过去,130.0
还我们蔚蓝的大海,130.0
神奈氚冲浪里,130.0
罄竹难书,129.0
环保少女呢？,129.0
地球的千古罪人,129.0
大家一起来补完,129.0
长得鬼迷日眼的,129.0
做个人吧,129.0
tui,129.0
《理解》,129.0
红色海洋,128.0
第一次冲击,128.0
有小礼而无大义,128.0
如果把洋流比作水管，水管会不会破？鱼会不会游？,128.0
保护海洋！！保护海洋！！,128.0
扯淡,128.0
主线任务：活下去,128.0
180？,128.0
、,128.0
世界人民永远都不会忘记这沉痛的一天！,128.0
永不妥协,127.0
吓人,126.0
坚决抵制，保护海洋！,126.0
好帅,126.0
付得起吗,125.0
！,125.0
心酸,125.0
人类清除计划,123.0
向海洋排放核污水，等同于对沿海国家使用核武器！！！,123.0
说得好！！！,123.0
保护海洋！保护海洋！,121.0
《稀释》,121.0
睁眼说瞎话,121.0
手指好长,120.0
反对排水,120.0
不吃,120.0
坚决抵制，保护海洋，保护地球！,120.0
才300？,120.0
核污水就是有害的，稀释不能掩盖。,120.0
日本停止排放核污水！日本停止排放核污水！,120.0
盖格一响，爹妈白养,120.0
睫毛好长啊,120.0
哥斯拉刺身,120.0
大海潮汐涨退，自来水核污染问题谁也躲不了。,120.0
哦依稀,120.0
注意安全啊！,120.0
国际友好手势,120.0
注意身体啊,120.0
保护海洋，保护地球!,120.0
《当奥特曼变成纪录片之前》,120.0
2？,120.0
伊比利亚现状（大静谧以后）,120.0
注意安全呀,120.0
真该死,120.0
做好防护,120.0
以后可能会有奈奥巴尔坦星人,120.0
哥斯拉养殖计划,120.0
辐核,120.0
小心,120.0
《第二次冲击》,119.0
我还没看过海啊,119.0
我尼玛,119.0
干它,118.0
我还没去过海边呢,118.0
支持！！！！,118.0
恶魔,118.0
危,118.0
一个人的沉默，叫“思考”，一群人的沉默，叫“冷漠”，所有人的沉默，叫“黑暗”，不要以为你的声音，无关紧要，每一个人都发声，世界就会得到光明​,117.0
保护地球家园！保护海洋生态！,116.0
珍爱生命，远离日货！,116.0
世界可以没有日本，但不可以没有海洋,116.0
世界可以没有日本，但是不能没有海洋,116.0
拒买日货！,116.0
坚决抵制日本核污水排海！！！,116.0
这。。。,115.0
可悲,115.0
太坏了,115.0
简直了,115.0
保护海洋，,115.0
天理难容！！！！,115.0
天啊,115.0
开战吧,115.0
气死,115.0
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护,115.0
让更多人看见,114.0
反对排放！！！,114.0
坚决抵制日本核污染水排海！,114.0
保持沉默就是对犯罪的纵容,114.0
加热度加热度加热度加热度加热度加热度加热度,114.0
坚决抵制核污染水排放！,114.0
反对无效,113.0
预告片,113.0
抵制！,112.0
命运的齿轮开始变异,112.0
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,112.0
百氚东到海，核时复西归,112.0
坚决抵制核污水排海！！,112.0
但是溶质的总量不变了。,111.0
好家伙，先排了，再来征求同意。可以的,111.0
也是最简单的处理的一种！,111.0
但是日本宁可用700亿日元去消除核污染水排海的影响,111.0
也未必是说谎 但很可能对说的东西心里没底,111.0
反正我是不敢吃，我胆儿小,111.0
动画注释：吸附材料、钴（同位素）,111.0
误导个屁，明明就是同一个东西，不要脸,111.0
煮鸡蛋和蛋花汤的区别,111.0
也没人敢换吧,111.0
但是对人类对地球造成的伤害却是无穷无尽的,111.0
说出真相，别再祸祸海洋啦！,111.0
完全不考虑政治成本和其他一些连带的隐形成本吗？,111.0
好家伙23w年,111.0
够不要脸,111.0
燃料棒我听到了中文,111.0
因为瞒不住了!,111.0
狗人,111.0
评估结果：其他人都奈何不了我,111.0
看似成本低，其实成本最高,111.0
说出所有人的心声了,111.0
毫无智慧与良知,111.0
大海之殇,111.0
日本终将被反噬，海洋污染。,111.0
实在人,111.0
会打击很多产业链条，作孽呀。,111.0
日本的标准比国际标准还高一百倍,111.0
说没问题让他喝一口不就知道了吗，看他敢不敢喝,111.0
好心疼这个爷爷心疼大海,111.0
但这个滤芯已经TM两年没换了,111.0
说得好！！老百姓都懂的朴实无华的道理,111.0
为了一家东电，牺牲了多少人的利益啊？！日本还想进联合国常任理事国！,111.0
但用700亿压舆论，大若智,111.0
玩政治的心都脏,111.0
相由心生啊,111.0
说得太客气啦！！！,111.0
一定有人看，地球是全世界的,111.0
说到底稀释后的影响都是不确定的,111.0
大核民族理念：虚心接受，屡教不改,111.0
也就是说化学毒性不在放射性危险核素统计表内,111.0
不是达标了才排放的，是因为时间被迫放的，,111.0
论会玩，还得是它啊,111.0
